speciesId	compartment	initialConcentration (nM)	solver
cyt_prot__SPY2__EGF_1__EGFR_1__EGFR_1_	Cytoplasm	0.0	Deterministic
cyt_prot__SPY2__EGF_1__EGFR_1__EGF_1__EGFR_1_	Cytoplasm	0.0	Deterministic
cyt_prot__SPY2__EGF_1__EGFR_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot__SPY2__EGF_1__EGFR_1__NRG1_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot__SPY2__EGF_1__EGFR_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__SPY2__EGF_1__EGFR_1__NRG1_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__SPY2__ERBB2_1__NRG1_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot__SPY2__EGFR_1__NRG1_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot__SPY2__NRG1_1__ERBB3_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__SPY2__NRG1_1__ERBB3_1__NRG1_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__SPY2__ERBB2_1__NRG1_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__SPY2__EGFR_1__NRG1_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__SPY2__ERBB3_1__NRG1_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__SPY2__NRG1_1__ERBB4_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__SPY2__NRG1_1__ERBB4_1__NRG1_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__SPY2__HGF_1__MET_1__MET_1_	Cytoplasm	0.0	Deterministic
cyt_prot__SPY2__HGF_1__MET_1__HGF_1__MET_1_	Cytoplasm	0.0	Deterministic
cyt_cong__SPY2__PDGFB_1__PGFRB__PDGFB_1__PGFRB_	Cytoplasm	0.0	Deterministic
cyt_cong__SPY2__PDGFB_1__PGFRB__PGFRB_	Cytoplasm	0.0	Deterministic
cyt_cong__SPY2__FGF__FGFR__FGF__FGFR_	Cytoplasm	0.0	Deterministic
cyt_cong__SPY2__FGF__FGFR__FGFR_	Cytoplasm	0.0	Deterministic
cyt_cong__SPY2__IGF__IGF1R__IGF1R_	Cytoplasm	0.0	Deterministic
cyt_prot__SPY2__INS_1__INSR_1__INSR_1_	Cytoplasm	0.0	Deterministic
cyt_cong__SPY2__IGF__IGF1R__IGF1R__IGF_	Cytoplasm	0.0	Deterministic
cyt_prot__SPY2__INS_1__INSR_1__INSR_1__INS_1_	Cytoplasm	0.0	Deterministic
cyt_prot_in__EGF_1__EGFR_1__ERBB2_1_	Cytoplasm	0.0	Deterministic
cyt_prot_in__EGF_1__EGFR_1__EGFR_1_	Cytoplasm	0.0	Deterministic
cyt_prot_in__EGF_1__EGFR_1__EGF_1__EGFR_1_	Cytoplasm	0.0	Deterministic
cyt_prot_in__EGF_1__EGFR_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot_in__EGF_1__EGFR_1__NRG1_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot_in__EGF_1__EGFR_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot_in__EGF_1__EGFR_1__NRG1_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot_in__ERBB2_1__NRG1_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot_in__EGFR_1__NRG1_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
